has,prefers,count
Egypt,Egypt,10
Morocco,Egypt,0
Nigeria,Egypt,0
Senegal,Egypt,0
Tunisia,Egypt,0
Australia,Egypt,0
Iran,Egypt,0
Japan,Egypt,0
South Korea,Egypt,0
Saudi Arabia,Egypt,5
Belgium,Egypt,0
Croatia,Egypt,0
Denmark,Egypt,0
England,Egypt,7
France,Egypt,0
Germany,Egypt,0
Iceland,Egypt,0
Poland,Egypt,0
Portugal,Egypt,1
Russia,Egypt,0
Serbia,Egypt,0
Spain,Egypt,0
Sweden,Egypt,0
Switzerland,Egypt,0
Costa Rica,Egypt,0
Mexico,Egypt,0
Panama,Egypt,0
Argentina,Egypt,0
Brazil,Egypt,0
Colombia,Egypt,0
Peru,Egypt,0
Uruguay,Egypt,0
Italy,Egypt,0
Netherlands,Egypt,0
Ukraine,Egypt,0
USA,Egypt,1
Morocco,Morocco,3
Egypt,Morocco,1
Nigeria,Morocco,0
Senegal,Morocco,0
Tunisia,Morocco,0
Australia,Morocco,0
Iran,Morocco,0
Japan,Morocco,0
South Korea,Morocco,0
Saudi Arabia,Morocco,0
Belgium,Morocco,0
Croatia,Morocco,0
Denmark,Morocco,0
England,Morocco,2
France,Morocco,4
Germany,Morocco,2
Iceland,Morocco,0
Poland,Morocco,0
Portugal,Morocco,0
Russia,Morocco,0
Serbia,Morocco,0
Spain,Morocco,5
Sweden,Morocco,0
Switzerland,Morocco,0
Costa Rica,Morocco,0
Mexico,Morocco,0
Panama,Morocco,0
Argentina,Morocco,0
Brazil,Morocco,0
Colombia,Morocco,0
Peru,Morocco,0
Uruguay,Morocco,0
Italy,Morocco,1
Netherlands,Morocco,5
Ukraine,Morocco,0
USA,Morocco,0
Nigeria,Nigeria,2
Morocco,Nigeria,0
Egypt,Nigeria,1
Senegal,Nigeria,0
Tunisia,Nigeria,0
Australia,Nigeria,0
Iran,Nigeria,0
Japan,Nigeria,0
South Korea,Nigeria,0
Saudi Arabia,Nigeria,0
Belgium,Nigeria,3
Croatia,Nigeria,0
Denmark,Nigeria,0
England,Nigeria,5
France,Nigeria,1
Germany,Nigeria,1
Iceland,Nigeria,0
Poland,Nigeria,0
Portugal,Nigeria,0
Russia,Nigeria,2
Serbia,Nigeria,0
Spain,Nigeria,2
Sweden,Nigeria,0
Switzerland,Nigeria,0
Costa Rica,Nigeria,0
Mexico,Nigeria,0
Panama,Nigeria,0
Argentina,Nigeria,0
Brazil,Nigeria,0
Colombia,Nigeria,0
Peru,Nigeria,0
Uruguay,Nigeria,0
Italy,Nigeria,1
Netherlands,Nigeria,1
Ukraine,Nigeria,0
USA,Nigeria,0
Senegal,Senegal,1
Morocco,Senegal,0
Nigeria,Senegal,0
Egypt,Senegal,0
Tunisia,Senegal,0
Australia,Senegal,0
Iran,Senegal,0
Japan,Senegal,0
South Korea,Senegal,0
Saudi Arabia,Senegal,0
Belgium,Senegal,1
Croatia,Senegal,0
Denmark,Senegal,0
England,Senegal,10
France,Senegal,10
Germany,Senegal,1
Iceland,Senegal,0
Poland,Senegal,0
Portugal,Senegal,0
Russia,Senegal,0
Serbia,Senegal,0
Spain,Senegal,0
Sweden,Senegal,0
Switzerland,Senegal,0
Costa Rica,Senegal,0
Mexico,Senegal,0
Panama,Senegal,0
Argentina,Senegal,0
Brazil,Senegal,0
Colombia,Senegal,0
Peru,Senegal,0
Uruguay,Senegal,0
Italy,Senegal,3
Netherlands,Senegal,0
Ukraine,Senegal,0
USA,Senegal,0
Tunisia,Tunisia,10
Morocco,Tunisia,0
Nigeria,Tunisia,0
Senegal,Tunisia,0
Egypt,Tunisia,2
Australia,Tunisia,0
Iran,Tunisia,0
Japan,Tunisia,0
South Korea,Tunisia,0
Saudi Arabia,Tunisia,5
Belgium,Tunisia,1
Croatia,Tunisia,0
Denmark,Tunisia,0
England,Tunisia,1
France,Tunisia,7
Germany,Tunisia,0
Iceland,Tunisia,0
Poland,Tunisia,0
Portugal,Tunisia,0
Russia,Tunisia,0
Serbia,Tunisia,0
Spain,Tunisia,0
Sweden,Tunisia,0
Switzerland,Tunisia,0
Costa Rica,Tunisia,0
Mexico,Tunisia,0
Panama,Tunisia,0
Argentina,Tunisia,0
Brazil,Tunisia,0
Colombia,Tunisia,0
Peru,Tunisia,0
Uruguay,Tunisia,0
Italy,Tunisia,0
Netherlands,Tunisia,0
Ukraine,Tunisia,0
USA,Tunisia,0
Australia,Australia,4
Morocco,Australia,0
Nigeria,Australia,0
Senegal,Australia,0
Tunisia,Australia,0
Egypt,Australia,0
Iran,Australia,0
Japan,Australia,2
South Korea,Australia,0
Saudi Arabia,Australia,1
Belgium,Australia,1
Croatia,Australia,0
Denmark,Australia,0
England,Australia,8
France,Australia,0
Germany,Australia,2
Iceland,Australia,0
Poland,Australia,0
Portugal,Australia,0
Russia,Australia,0
Serbia,Australia,0
Spain,Australia,0
Sweden,Australia,0
Switzerland,Australia,2
Costa Rica,Australia,0
Mexico,Australia,0
Panama,Australia,0
Argentina,Australia,0
Brazil,Australia,0
Colombia,Australia,0
Peru,Australia,0
Uruguay,Australia,0
Italy,Australia,0
Netherlands,Australia,1
Ukraine,Australia,0
USA,Australia,0
Iran,Iran,14
Morocco,Iran,0
Nigeria,Iran,0
Senegal,Iran,0
Tunisia,Iran,0
Australia,Iran,0
Egypt,Iran,0
Japan,Iran,0
South Korea,Iran,0
Saudi Arabia,Iran,0
Belgium,Iran,2
Croatia,Iran,0
Denmark,Iran,0
England,Iran,1
France,Iran,0
Germany,Iran,0
Iceland,Iran,0
Poland,Iran,0
Portugal,Iran,1
Russia,Iran,3
Serbia,Iran,0
Spain,Iran,0
Sweden,Iran,1
Switzerland,Iran,0
Costa Rica,Iran,0
Mexico,Iran,0
Panama,Iran,0
Argentina,Iran,0
Brazil,Iran,0
Colombia,Iran,0
Peru,Iran,0
Uruguay,Iran,0
Italy,Iran,0
Netherlands,Iran,2
Ukraine,Iran,0
USA,Iran,0
Japan,Japan,14
Morocco,Japan,0
Nigeria,Japan,0
Senegal,Japan,0
Tunisia,Japan,0
Australia,Japan,0
Iran,Japan,0
Egypt,Japan,0
South Korea,Japan,0
Saudi Arabia,Japan,0
Belgium,Japan,2
Croatia,Japan,0
Denmark,Japan,0
England,Japan,0
France,Japan,1
Germany,Japan,5
Iceland,Japan,0
Poland,Japan,0
Portugal,Japan,1
Russia,Japan,0
Serbia,Japan,0
Spain,Japan,1
Sweden,Japan,0
Switzerland,Japan,0
Costa Rica,Japan,0
Mexico,Japan,1
Panama,Japan,0
Argentina,Japan,0
Brazil,Japan,0
Colombia,Japan,0
Peru,Japan,0
Uruguay,Japan,0
Italy,Japan,0
Netherlands,Japan,0
Ukraine,Japan,0
USA,Japan,0
South Korea,South Korea,13
Morocco,South Korea,0
Nigeria,South Korea,0
Senegal,South Korea,0
Tunisia,South Korea,0
Australia,South Korea,0
Iran,South Korea,0
Japan,South Korea,4
Egypt,South Korea,0
Saudi Arabia,South Korea,0
Belgium,South Korea,0
Croatia,South Korea,0
Denmark,South Korea,0
England,South Korea,1
France,South Korea,1
Germany,South Korea,1
Iceland,South Korea,0
Poland,South Korea,0
Portugal,South Korea,0
Russia,South Korea,0
Serbia,South Korea,0
Spain,South Korea,0
Sweden,South Korea,0
Switzerland,South Korea,0
Costa Rica,South Korea,0
Mexico,South Korea,0
Panama,South Korea,0
Argentina,South Korea,0
Brazil,South Korea,0
Colombia,South Korea,0
Peru,South Korea,0
Uruguay,South Korea,0
Italy,South Korea,0
Netherlands,South Korea,0
Ukraine,South Korea,0
USA,South Korea,0
Saudi Arabia,Saudi Arabia,25
Morocco,Saudi Arabia,0
Nigeria,Saudi Arabia,0
Senegal,Saudi Arabia,0
Tunisia,Saudi Arabia,0
Australia,Saudi Arabia,0
Iran,Saudi Arabia,0
Japan,Saudi Arabia,0
South Korea,Saudi Arabia,0
Egypt,Saudi Arabia,0
Belgium,Saudi Arabia,0
Croatia,Saudi Arabia,0
Denmark,Saudi Arabia,0
England,Saudi Arabia,0
France,Saudi Arabia,0
Germany,Saudi Arabia,0
Iceland,Saudi Arabia,0
Poland,Saudi Arabia,0
Portugal,Saudi Arabia,0
Russia,Saudi Arabia,0
Serbia,Saudi Arabia,0
Spain,Saudi Arabia,3
Sweden,Saudi Arabia,0
Switzerland,Saudi Arabia,0
Costa Rica,Saudi Arabia,0
Mexico,Saudi Arabia,0
Panama,Saudi Arabia,0
Argentina,Saudi Arabia,0
Brazil,Saudi Arabia,0
Colombia,Saudi Arabia,0
Peru,Saudi Arabia,0
Uruguay,Saudi Arabia,0
Italy,Saudi Arabia,0
Netherlands,Saudi Arabia,0
Ukraine,Saudi Arabia,0
USA,Saudi Arabia,0
Belgium,Belgium,3
Morocco,Belgium,0
Nigeria,Belgium,0
Senegal,Belgium,0
Tunisia,Belgium,0
Australia,Belgium,0
Iran,Belgium,0
Japan,Belgium,0
South Korea,Belgium,0
Saudi Arabia,Belgium,0
Egypt,Belgium,0
Croatia,Belgium,0
Denmark,Belgium,0
England,Belgium,9
France,Belgium,2
Germany,Belgium,4
Iceland,Belgium,0
Poland,Belgium,0
Portugal,Belgium,0
Russia,Belgium,0
Serbia,Belgium,0
Spain,Belgium,1
Sweden,Belgium,0
Switzerland,Belgium,0
Costa Rica,Belgium,0
Mexico,Belgium,0
Panama,Belgium,0
Argentina,Belgium,0
Brazil,Belgium,0
Colombia,Belgium,0
Peru,Belgium,0
Uruguay,Belgium,0
Italy,Belgium,2
Netherlands,Belgium,0
Ukraine,Belgium,0
USA,Belgium,1
Croatia,Croatia,3
Morocco,Croatia,0
Nigeria,Croatia,0
Senegal,Croatia,0
Tunisia,Croatia,0
Australia,Croatia,0
Iran,Croatia,0
Japan,Croatia,0
South Korea,Croatia,0
Saudi Arabia,Croatia,0
Belgium,Croatia,2
Egypt,Croatia,0
Denmark,Croatia,0
England,Croatia,0
France,Croatia,0
Germany,Croatia,4
Iceland,Croatia,0
Poland,Croatia,0
Portugal,Croatia,0
Russia,Croatia,2
Serbia,Croatia,0
Spain,Croatia,3
Sweden,Croatia,0
Switzerland,Croatia,0
Costa Rica,Croatia,0
Mexico,Croatia,0
Panama,Croatia,0
Argentina,Croatia,0
Brazil,Croatia,0
Colombia,Croatia,0
Peru,Croatia,0
Uruguay,Croatia,0
Italy,Croatia,3
Netherlands,Croatia,0
Ukraine,Croatia,1
USA,Croatia,0
Denmark,Denmark,5
Morocco,Denmark,0
Nigeria,Denmark,0
Senegal,Denmark,0
Tunisia,Denmark,0
Australia,Denmark,0
Iran,Denmark,0
Japan,Denmark,0
South Korea,Denmark,0
Saudi Arabia,Denmark,0
Belgium,Denmark,0
Croatia,Denmark,0
Egypt,Denmark,0
England,Denmark,5
France,Denmark,2
Germany,Denmark,2
Iceland,Denmark,0
Poland,Denmark,0
Portugal,Denmark,0
Russia,Denmark,0
Serbia,Denmark,0
Spain,Denmark,3
Sweden,Denmark,1
Switzerland,Denmark,0
Costa Rica,Denmark,0
Mexico,Denmark,0
Panama,Denmark,0
Argentina,Denmark,0
Brazil,Denmark,0
Colombia,Denmark,0
Peru,Denmark,0
Uruguay,Denmark,0
Italy,Denmark,2
Netherlands,Denmark,2
Ukraine,Denmark,0
USA,Denmark,0
England,England,24
Morocco,England,0
Nigeria,England,0
Senegal,England,0
Tunisia,England,0
Australia,England,0
Iran,England,0
Japan,England,0
South Korea,England,0
Saudi Arabia,England,0
Belgium,England,0
Croatia,England,0
Denmark,England,0
Egypt,England,0
France,England,0
Germany,England,0
Iceland,England,0
Poland,England,0
Portugal,England,0
Russia,England,0
Serbia,England,0
Spain,England,0
Sweden,England,0
Switzerland,England,0
Costa Rica,England,0
Mexico,England,0
Panama,England,0
Argentina,England,0
Brazil,England,0
Colombia,England,0
Peru,England,0
Uruguay,England,0
Italy,England,0
Netherlands,England,0
Ukraine,England,0
USA,England,0
France,France,7
Morocco,France,0
Nigeria,France,0
Senegal,France,0
Tunisia,France,0
Australia,France,0
Iran,France,0
Japan,France,0
South Korea,France,0
Saudi Arabia,France,0
Belgium,France,0
Croatia,France,0
Denmark,France,0
England,France,6
Egypt,France,0
Germany,France,2
Iceland,France,0
Poland,France,0
Portugal,France,0
Russia,France,0
Serbia,France,0
Spain,France,7
Sweden,France,0
Switzerland,France,0
Costa Rica,France,0
Mexico,France,0
Panama,France,0
Argentina,France,0
Brazil,France,0
Colombia,France,0
Peru,France,0
Uruguay,France,0
Italy,France,1
Netherlands,France,0
Ukraine,France,0
USA,France,0
Germany,Germany,15
Morocco,Germany,0
Nigeria,Germany,0
Senegal,Germany,0
Tunisia,Germany,0
Australia,Germany,0
Iran,Germany,0
Japan,Germany,0
South Korea,Germany,0
Saudi Arabia,Germany,0
Belgium,Germany,0
Croatia,Germany,0
Denmark,Germany,0
England,Germany,3
France,Germany,2
Egypt,Germany,0
Iceland,Germany,0
Poland,Germany,0
Portugal,Germany,0
Russia,Germany,0
Serbia,Germany,0
Spain,Germany,2
Sweden,Germany,0
Switzerland,Germany,0
Costa Rica,Germany,0
Mexico,Germany,0
Panama,Germany,0
Argentina,Germany,0
Brazil,Germany,0
Colombia,Germany,0
Peru,Germany,0
Uruguay,Germany,0
Italy,Germany,1
Netherlands,Germany,0
Ukraine,Germany,0
USA,Germany,0
Iceland,Iceland,1
Morocco,Iceland,0
Nigeria,Iceland,0
Senegal,Iceland,0
Tunisia,Iceland,0
Australia,Iceland,0
Iran,Iceland,0
Japan,Iceland,0
South Korea,Iceland,0
Saudi Arabia,Iceland,0
Belgium,Iceland,1
Croatia,Iceland,0
Denmark,Iceland,5
England,Iceland,4
France,Iceland,0
Germany,Iceland,0
Egypt,Iceland,0
Poland,Iceland,0
Portugal,Iceland,0
Russia,Iceland,3
Serbia,Iceland,0
Spain,Iceland,0
Sweden,Iceland,2
Switzerland,Iceland,0
Costa Rica,Iceland,0
Mexico,Iceland,0
Panama,Iceland,0
Argentina,Iceland,0
Brazil,Iceland,0
Colombia,Iceland,0
Peru,Iceland,0
Uruguay,Iceland,0
Italy,Iceland,1
Netherlands,Iceland,2
Ukraine,Iceland,0
USA,Iceland,0
Poland,Poland,8
Morocco,Poland,0
Nigeria,Poland,0
Senegal,Poland,0
Tunisia,Poland,0
Australia,Poland,0
Iran,Poland,0
Japan,Poland,0
South Korea,Poland,0
Saudi Arabia,Poland,0
Belgium,Poland,1
Croatia,Poland,0
Denmark,Poland,0
England,Poland,3
France,Poland,1
Germany,Poland,3
Iceland,Poland,0
Egypt,Poland,0
Portugal,Poland,0
Russia,Poland,1
Serbia,Poland,0
Spain,Poland,0
Sweden,Poland,0
Switzerland,Poland,0
Costa Rica,Poland,0
Mexico,Poland,0
Panama,Poland,0
Argentina,Poland,0
Brazil,Poland,0
Colombia,Poland,0
Peru,Poland,0
Uruguay,Poland,0
Italy,Poland,9
Netherlands,Poland,0
Ukraine,Poland,1
USA,Poland,0
Portugal,Portugal,4
Morocco,Portugal,0
Nigeria,Portugal,0
Senegal,Portugal,0
Tunisia,Portugal,0
Australia,Portugal,0
Iran,Portugal,0
Japan,Portugal,0
South Korea,Portugal,0
Saudi Arabia,Portugal,0
Belgium,Portugal,0
Croatia,Portugal,0
Denmark,Portugal,0
England,Portugal,5
France,Portugal,3
Germany,Portugal,1
Iceland,Portugal,0
Poland,Portugal,0
Egypt,Portugal,0
Russia,Portugal,1
Serbia,Portugal,0
Spain,Portugal,3
Sweden,Portugal,0
Switzerland,Portugal,0
Costa Rica,Portugal,0
Mexico,Portugal,0
Panama,Portugal,0
Argentina,Portugal,0
Brazil,Portugal,0
Colombia,Portugal,0
Peru,Portugal,0
Uruguay,Portugal,0
Italy,Portugal,3
Netherlands,Portugal,0
Ukraine,Portugal,0
USA,Portugal,0
Russia,Russia,25
Morocco,Russia,0
Nigeria,Russia,0
Senegal,Russia,0
Tunisia,Russia,0
Australia,Russia,0
Iran,Russia,0
Japan,Russia,0
South Korea,Russia,0
Saudi Arabia,Russia,0
Belgium,Russia,1
Croatia,Russia,0
Denmark,Russia,0
England,Russia,0
France,Russia,0
Germany,Russia,0
Iceland,Russia,0
Poland,Russia,0
Portugal,Russia,0
Egypt,Russia,0
Serbia,Russia,0
Spain,Russia,1
Sweden,Russia,0
Switzerland,Russia,0
Costa Rica,Russia,0
Mexico,Russia,0
Panama,Russia,0
Argentina,Russia,0
Brazil,Russia,0
Colombia,Russia,0
Peru,Russia,0
Uruguay,Russia,0
Italy,Russia,0
Netherlands,Russia,0
Ukraine,Russia,0
USA,Russia,0
Serbia,Serbia,1
Morocco,Serbia,0
Nigeria,Serbia,0
Senegal,Serbia,0
Tunisia,Serbia,0
Australia,Serbia,0
Iran,Serbia,0
Japan,Serbia,0
South Korea,Serbia,0
Saudi Arabia,Serbia,0
Belgium,Serbia,1
Croatia,Serbia,0
Denmark,Serbia,0
England,Serbia,4
France,Serbia,0
Germany,Serbia,4
Iceland,Serbia,0
